Normalized tag,Clean,Mitch's Category,Laura's Category,Model,Field
zaravoni,Zaravoni,Person,Person,Copy,Author
plutarch,Plutarch,,Author,Copy,Author
purplepenworkbreviary,Purple penwork breviary,,,Copy,Book Type
652mau45folio,652M Au45 Folio,Call Number,Call Number,Copy,Call Number
652mc788,652M C788,Call Number,Call Number,Copy,Call Number
652mm477,652M M477,Call Number,Call Number,Copy,Call Number
652mp8324folio,652M P832.4 Folio,Call Number,Call Number,Copy,Call Number
652mt735,652M T735,Call Number,Call Number,Copy,Call Number
652my23,652M Y23,Call Number,Call Number,Copy,Call Number
ac6a100683n1900,AC6 A100 683n 1900,Call Number,Call Number,Copy,Call Number
ac6p3808669n1694,AC6 P3808 669n 1694,Call Number,Call Number,Copy,Call Number
ac6p3808669n1750,AC6 P3808 669n 1750,Call Number,Call Number,Copy,Call Number
ac6p3808670t,AC6 P3808 670t,Call Number,Call Number,Copy,Call Number
ac6p3808672q,AC6 P3808 672q,Call Number,Call Number,Copy,Call Number
ac6p3808673c1674,AC6 P3808 673c 1674,Call Number,Call Number,Copy,Call Number
ac6p3808694be,AC6 P3808 694be,Call Number,Call Number,Copy,Call Number
ac6p3808698d,AC6 P3808 698d,Call Number,Call Number,Copy,Call Number
ac6p3808771s1782,AC6 P3808 771s 1782,Call Number,Call Number,Copy,Call Number
ac6p3808b688l,AC6 P3808 B688l,Call Number,Call Number,Copy,Call Number
ac6st324861m,AC6 St324 861m,Call Number,Call Number,Copy,Call Number
ac6w7375790h1825,AC6 W7375 790h 1825,Call Number,Call Number,Copy,Call Number
ac65l5158687j,AC65 L5158 687j,Call Number,Call Number,Copy,Call Number
ac7a100722c,AC7 A100 722c,Call Number,Call Number,Copy,Call Number
ac7a100731a,AC7 A100 731a,Call Number,Call Number,Copy,Call Number
ac7a100754c,AC7 A100 754c,Call Number,Call Number,Copy,Call Number
ac7a100756c,AC7 A100 756c,Call Number,Call Number,Copy,Call Number
ac7a100774d,AC7 A100 774d,Call Number,Call Number,Copy,Call Number
ac7a100785h,AC7 A100 785h,Call Number,Call Number,Copy,Call Number
ac7a100787s,AC7 A100 787s,Call Number,Call Number,Copy,Call Number
ac7a100788e,AC7 A100 788e,Call Number,Call Number,Copy,Call Number
ac7ad174784a,AC7 Ad174 784a,Call Number,Call Number,Copy,Call Number
ac7ad185786t,AC7 Ad185 786t,Call Number,Call Number,Copy,Call Number
ac7ad185787db,AC7 Ad185 787db,Call Number,Call Number,Copy,Call Number
ac7ap552741e,AC7 Ap552 741e,Call Number,Call Number,Copy,Call Number
ac7b2496787v,AC7 B2496 787v,Call Number,Call Number,Copy,Call Number
ac7b4144750t,AC7 B4144 750t,Call Number,Call Number,Copy,Call Number
ac7b4356774p,AC7 B4356 774p,Call Number,Call Number,Copy,Call Number
ac7b4356780o,AC7 B4356 780o,Call Number,Call Number,Copy,Call Number
