Clean,Mitch's Category
1470,Date
1471,Date
1472,Date
1473,Date
1474,Date
1475,Date
1476,Date
1477,Date
1478,Date
1479,Date
1480,Date
1481,Date
1482,Date
1483,Date
1484,Date
1485,Date
1486,Date
1487,Date
1488,Date
1489,Date
1490,Date
1491,Date
1492,Date
1493,Date
1494,Date
1495,Date
1496,Date
1497,Date
1498,Date
1499,Date
1500,Date
1501,Date
1502,Date
1503,Date
1505,Date
1507,Date
1508,Date
1509,Date
1510,Date
1513,Date
1515,Date
1516,Date
1517,Date
1518,Date
1521,Date
1522,Date
1523,Date
1524,Date
1525,Date
1526,Date
1527,Date
1529,Date
1530,Date
1531,Date
1532,Date
1533,Date
1534,Date
1535,Date
1536,Date
1537,Date
1538,Date
1539,Date
1540,Date
1541,Date
1542,Date
1543,Date
1544,Date
1545,Date
1546,Date
1547,Date
1548,Date
1549,Date
1550,Date
1551,Date
1552,Date
1553,Date
1554,Date
1555,Date
1556,Date
1557,Date
1558,Date
1559,Date
1560,Date
1561,Date
1562,Date
1563,Date
1564,Date
1565,Date
1566,Date
1567,Date
1568,Date
1569,Date
1570,Date
1571,Date
1572,Date
1573,Date
1574,Date
1575,Date
1576,Date
1577,Date
1578,Date
1579,Date
1580,Date
1581,Date
1582,Date
1583,Date
1584,Date
1585,Date
1586,Date
1587,Date
1588,Date
1589,Date
1590,Date
1591,Date
1592,Date
1593,Date
1594,Date
1595,Date
1596,Date
1597,Date
1598,Date
1599,Date
1600,Date
1601,Date
1602,Date
1603,Date
1604,Date
1605,Date
1606,Date
1607,Date
1608,Date
1609,Date
1610,Date
1611,Date
1612,Date
1613,Date
1614,Date
1616,Date
1617,Date
1618,Date
1619,Date
1620,Date
1621,Date
1622,Date
1623,Date
1624,Date
1625,Date
1626,Date
1627,Date
1628,Date
1629,Date
1630,Date
1632,Date
1633,Date
1634,Date
1635,Date
1638,Date
1639,Date
1640,Date
1641,Date
1643,Date
1644,Date
1645,Date
1646,Date
1647,Date
1648,Date
1649,Date
1650,Date
1651,Date
1652,Date
1654,Date
1658,Date
1659,Date
1660,Date
1661,Date
1662,Date
1663,Date
1664,Date
1665,Date
1666,Date
1668,Date
1669,Date
1670,Date
1671,Date
1672,Date
1675,Date
1676,Date
1678,Date
1679,Date
1680,Date
1681,Date
1682,Date
1683,Date
1684,Date
1686,Date
1687,Date
1688,Date
1691,Date
1692,Date
1693,Date
1695,Date
1696,Date
1697,Date
1698,Date
1699,Date
1700,Date
1701,Date
1702,Date
1703,Date
1704,Date
1705,Date
1706,Date
1707,Date
1708,Date
1709,Date
1710,Date
1711,Date
1712,Date
1713,Date
1715,Date
1716,Date
1722,Date
1724,Date
1726,Date
1727,Date
1728,Date
1729,Date
1730,Date
1731,Date
1732,Date
1733,Date
1735,Date
1736,Date
1737,Date
1738,Date
1739,Date
1740,Date
1741,Date
1742,Date
1744,Date
1745,Date
1746,Date
1747,Date
1748,Date
1749,Date
1750,Date
1752,Date
1753,Date
