Normalized,Raw,Model,field
CURR:NO_MATCH:Tags added by POP - Ugly,Clean,Mitch's Category,Laura's Category,Model,Field,Basis 
zaravoni,Zaravoni,Person,Person,Copy,Author,Transcription | Secondary | Imagery Description | Heraldry Description
avicenna,Avicenna,,,Copy ,Author,
catullusgaiusvalerius,"Catullus, Gaius Valerius",,,Copy ,Author,
dantealighieri12651321,"Dante Alighieri, 1265-1321",,,Copy ,Author,
georgesdebruxellesactive15thcentury16thcentury,"Georges, de Bruxelles, active 15th century-16th century",Person,Person,Copy ,Author,Secondary 
cooperjamesfenimore17891851,"Cooper, James Fenimore, 1789-1851",Person,Person,Holder,Author,Transcription 
adamdesaintvictord1192,"Adam, de Saint-Victor, d. 1192",,,Unknown,Author,
plutarch,Plutarch,,Author,Copy,Author ,Transcription
accursiusglossatorapproximately1182approximately1260,"Accursius, glossator, approximately 1182-approximately 1260",,,Copy ,Author ,
awards,Awards,Type,Type Provenance,Evidence ,Award ,
blindstampedbinding,Blind-stamped binding,,,Evidence,Binding,
augustinianbindings,Augustinian bindings,,,Evidence,Binding ,
bindings,Bindings,Type,Type Provenance,Evidence,Binding ,
buxheimcharterhousebindings,Buxheim CharterhouseBindings,Type,Type Provenance,Evidence,Binding ,
carthusianbindings,Carthusian bindings,Type,Type Provenance,Evidence,Binding ,
franciscanbindings,Franciscan bindings,,Type Provenance,Evidence,Binding ,
goldstampedbindings,Gold-stamped bindings,,Type Provenance,Evidence,Binding ,
manuscriptbindingwaste,Manuscript binding waste,Type,Type Provenance,Evidence,Binding ,
manuscriptmusicbindingwaste,Manuscript music binding waste,Type,Type Provenance,Evidence,Binding ,
musicbindingwaste,Music binding waste,,Type Provenance,Evidence,Binding ,
printedbindingwaste,Printed binding waste,Type,Type Provenance,Evidence,Binding ,
printedmusicbindingwaste,Printed music binding waste,Type,Type Provenance,Evidence,Binding ,
armorialbindings,Armorial bindings,Type,Type Provenance,Evidence ,Binding ,
bindingwaste,Binding waste,Type,Type Provenance,Evidence ,Binding ,
jesuitbindings,Jesuit bindings,,Type Provenance,Evidence ,Binding ,
medicibinding,Medici binding,,Type Provenance,Evidence ,Binding ,
signedbindings,Signed bindings,,Type Provenance,Evidence,Binding and Inscription,
borders,borders,,,Unknown,Book Attribute,
annotations,Annotations,,Type Book Attribute,Unknown,Book Attribute ,
architecturalborders,Architectural borders,Type,Type Book Attribute,Unknown,Book Attribute ,
armorialwoodcuts,Armorial woodcuts,Type,Type Provenance,Unknown,Book Attribute ,
bearerimpressions,Bearer impressions,Physical,Physical,Unknown,Book Attribute ,
bearertype,Bearer type,Physical,Physical,Unknown,Book Attribute ,
bibliographicdescriptions,Bibliographic descriptions,Type,Type Book Attribute,Unknown,Book Attribute ,
bibliographicnotes,Bibliographic notes,Type,Type Book Attribute ,Unknown,Book Attribute ,
bibliographicalnotes,Bibliographical notes,Type,Type Book Attribute,Unknown,Book Attribute ,
bindngs,Bindngs,Type,Type Book Attribute,Unknown,Book Attribute ,
blankforms,Blank forms,Type,Type Book Attribute,Unknown,Book Attribute ,
