CURR:NO_MATCH:Tags added by POP - Ugly,Clean,Mitch's Category,Laura's Category,Model,Field
CURR:NO_MATCH:fc55es868ef575c,FC55 Es868 Ef575c,Call Number,Call Number,Copy,Call Number
CURR:NO_MATCH:incunable,Incunable,Type,Type Book,Copy ,Book Type 
CURR:NO_MATCH:Shelf marklabelwithblueborder,Shelf mark label with blue border,,Type Provenance,Evidence,Bookplate/Label and Shelf mark
CURR:NO_MATCH:Shelf marklabels,Shelf mark labels,,Type Provenance,Evidence,Bookplate/Label and Shelf mark
CURR:NO_MATCH:Shelf marks,Shelf marks,,Type Provenance,Evidence,Shelf mark
NEW:NO_MATCH:liechtensteinhouseof,"Liechtenstein, House of‏",,,Holder,Family
NEW:NO_MATCH:klosterstgallen,Kloster St. Gallen‏,,,Holder,Organization
NEW:NO_MATCH:elizabethmofjohnthebaptistsaint,"Elizabeth (M of John the Baptist), Saint",,,Unknown,Description Person
NEW:NO_MATCH:kglhofundstaatsbibliothekinmünchen,Kgl. Hof- und Staatsbibliothek in München‏,,,Unknown,Organization
NEW:NO_MATCH:königlicheÖffentlichebibliothekzuhannover,Königliche Öffentliche Bibliothek zu Hannover,,,Unknown,Organization
NEW:NO_MATCH:universitätrostock,Universität Rostock,,,Unknown,Organization
NEW:NO_MATCH:gpputnamssons,G.P. Putnam’s Sons,Entity,,Unknown,Organization
NEW:NO_MATCH:albarrángerónimode,"Albarrán, Gerónimo de",,,Unknown,Person Unknown
NEW:NO_MATCH:alonsodearagón14701520,"Alonso de Aragón, 1470-1520",,,Unknown,Person Unknown
NEW:NO_MATCH:bascarininiccolòfl15411554,"Bascarini, Niccolò, fl. 1541-1554",,,Unknown,Person Unknown
NEW:NO_MATCH:bernardinodecárdenasyportugaldukeofmaqueda15981601,"Bernardino de Cárdenas y Portugal, Duke of Maqueda 1598–1601",,,Unknown,Person Unknown
NEW:NO_MATCH:buturlindmitrīĭpetrovich17631829,"Buturlin, Dmitrīĭ Petrovich, 1763-1829",,,Unknown,Person Unknown
NEW:NO_MATCH:büöllercarlin,"Büöller, Carlin",,,Unknown,Person Unknown
NEW:NO_MATCH:büöllercarolus,"Büöller, Carolus",,,Unknown,Person Unknown
NEW:NO_MATCH:büöllerjohanpeter,"Büöller, Johan Peter",,,Unknown,Person Unknown
NEW:NO_MATCH:büöllerjohannespetrus,"Büöller, Johannes Petrus",,,Unknown,Person Unknown
NEW:NO_MATCH:carlsjohannfriedrich,"Carls, Johann Friedrich‏",,,Unknown,Person Unknown
NEW:NO_MATCH:casseljohannphilipp17071783,"Cassel, Johann Philipp,‏ ‎1707-1783‏",,,Unknown,Person Unknown
NEW:NO_MATCH:champollionfigeacaimélouis18131894,"Champollion-Figeac, Aimé Louis, 1813-1894",,,Unknown,Person Unknown
NEW:NO_MATCH:chaudièreregnaultfl15091554,"Chaudière, Regnault, fl. 1509-1554",,,Unknown,Person Unknown
NEW:NO_MATCH:chorinskyvonledskeignatzdominikgrafb1729,"Chorinsky von Ledske, Ignatz Dominik,‏ ‎ Graf,‏ ‎ b. 1729‏",,,Unknown,Person Unknown
